id_origin,id_destino,times
"107 / Manhattan/ ""Lincoln Square - Upper West Side""",306,1
"107 / Manhattan/ ""Lincoln Square - Upper West Side""",204,2
"107 / Manhattan/ ""Lincoln Square - Upper West Side""",412,1
"107 / Manhattan/ ""Lincoln Square - Upper West Side""",314,1
"107 / Manhattan/ ""Lincoln Square - Upper West Side""",404,1
"108 / Manhattan/ ""Upper East Side - Lenox Hill - Yorkville - Roosevelt Island""",105,217
"108 / Manhattan/ ""Upper East Side - Lenox Hill - Yorkville - Roosevelt Island""",108,434
"108 / Manhattan/ ""Upper East Side - Lenox Hill - Yorkville - Roosevelt Island""",102,29
"108 / Manhattan/ ""Upper East Side - Lenox Hill - Yorkville - Roosevelt Island""",301,5
"108 / Manhattan/ ""Upper East Side - Lenox Hill - Yorkville - Roosevelt Island""",107,92
"108 / Manhattan/ ""Upper East Side - Lenox Hill - Yorkville - Roosevelt Island""",164,42
"108 / Manhattan/ ""Upper East Side - Lenox Hill - Yorkville - Roosevelt Island""",106,107
"108 / Manhattan/ ""Upper East Side - Lenox Hill - Yorkville - Roosevelt Island""",111,48
"108 / Manhattan/ ""Upper East Side - Lenox Hill - Yorkville - Roosevelt Island""",110,22
"108 / Manhattan/ ""Upper East Side - Lenox Hill - Yorkville - Roosevelt Island""",402,8
"108 / Manhattan/ ""Upper East Side - Lenox Hill - Yorkville - Roosevelt Island""",109,11
"108 / Manhattan/ ""Upper East Side - Lenox Hill - Yorkville - Roosevelt Island""",302,3
"108 / Manhattan/ ""Upper East Side - Lenox Hill - Yorkville - Roosevelt Island""",104,42
"108 / Manhattan/ ""Upper East Side - Lenox Hill - Yorkville - Roosevelt Island""",480,25
"108 / Manhattan/ ""Upper East Side - Lenox Hill - Yorkville - Roosevelt Island""",401,18
"108 / Manhattan/ ""Upper East Side - Lenox Hill - Yorkville - Roosevelt Island""",112,10
"108 / Manhattan/ ""Upper East Side - Lenox Hill - Yorkville - Roosevelt Island""",406,1
"108 / Manhattan/ ""Upper East Side - Lenox Hill - Yorkville - Roosevelt Island""",101,16
"108 / Manhattan/ ""Upper East Side - Lenox Hill - Yorkville - Roosevelt Island""",483,17
"108 / Manhattan/ ""Upper East Side - Lenox Hill - Yorkville - Roosevelt Island""",201,1
"108 / Manhattan/ ""Upper East Side - Lenox Hill - Yorkville - Roosevelt Island""",103,23
"108 / Manhattan/ ""Upper East Side - Lenox Hill - Yorkville - Roosevelt Island""",407,2
"108 / Manhattan/ ""Upper East Side - Lenox Hill - Yorkville - Roosevelt Island""",403,3
"108 / Manhattan/ ""Upper East Side - Lenox Hill - Yorkville - Roosevelt Island""",204,2
"108 / Manhattan/ ""Upper East Side - Lenox Hill - Yorkville - Roosevelt Island""",306,2
"108 / Manhattan/ ""Upper East Side - Lenox Hill - Yorkville - Roosevelt Island""",307,2
"108 / Manhattan/ ""Upper East Side - Lenox Hill - Yorkville - Roosevelt Island""",405,4
"108 / Manhattan/ ""Upper East Side - Lenox Hill - Yorkville - Roosevelt Island""",316,1
"108 / Manhattan/ ""Upper East Side - Lenox Hill - Yorkville - Roosevelt Island""",203,2
"108 / Manhattan/ ""Upper East Side - Lenox Hill - Yorkville - Roosevelt Island""",208,1
"108 / Manhattan/ ""Upper East Side - Lenox Hill - Yorkville - Roosevelt Island""",212,1
"108 / Manhattan/ ""Upper East Side - Lenox Hill - Yorkville - Roosevelt Island""",314,1
"108 / Manhattan/ ""Upper East Side - Lenox Hill - Yorkville - Roosevelt Island""",206,1
"108 / Manhattan/ ""Upper East Side - Lenox Hill - Yorkville - Roosevelt Island""",304,1
"108 / Manhattan/ ""Upper East Side - Lenox Hill - Yorkville - Roosevelt Island""",408,1
"108 / Manhattan/ ""Upper East Side - Lenox Hill - Yorkville - Roosevelt Island""",502,1
"108 / Manhattan/ ""Upper East Side - Lenox Hill - Yorkville - Roosevelt Island""",303,1
"108 / Manhattan/ ""Upper East Side - Lenox Hill - Yorkville - Roosevelt Island""",205,1
"109 / Manhattan/ ""West Harlem - Morningside Heights - Manhattanville - Hamilton Heights""",107,23
"109 / Manhattan/ ""West Harlem - Morningside Heights - Manhattanville - Hamilton Heights""",109,14
"109 / Manhattan/ ""West Harlem - Morningside Heights - Manhattanville - Hamilton Heights""",307,1
"109 / Manhattan/ ""West Harlem - Morningside Heights - Manhattanville - Hamilton Heights""",110,7
"109 / Manhattan/ ""West Harlem - Morningside Heights - Manhattanville - Hamilton Heights""",105,7
"109 / Manhattan/ ""West Harlem - Morningside Heights - Manhattanville - Hamilton Heights""",106,3
"109 / Manhattan/ ""West Harlem - Morningside Heights - Manhattanville - Hamilton Heights""",104,8
"109 / Manhattan/ ""West Harlem - Morningside Heights - Manhattanville - Hamilton Heights""",108,5
"109 / Manhattan/ ""West Harlem - Morningside Heights - Manhattanville - Hamilton Heights""",164,3
"109 / Manhattan/ ""West Harlem - Morningside Heights - Manhattanville - Hamilton Heights""",483,1
"109 / Manhattan/ ""West Harlem - Morningside Heights - Manhattanville - Hamilton Heights""",201,1
"109 / Manhattan/ ""West Harlem - Morningside Heights - Manhattanville - Hamilton Heights""",111,3
"109 / Manhattan/ ""West Harlem - Morningside Heights - Manhattanville - Hamilton Heights""",112,3
"109 / Manhattan/ ""West Harlem - Morningside Heights - Manhattanville - Hamilton Heights""",401,1
"109 / Manhattan/ ""West Harlem - Morningside Heights - Manhattanville - Hamilton Heights""",480,3
"109 / Manhattan/ ""West Harlem - Morningside Heights - Manhattanville - Hamilton Heights""",101,1
