Origin,Orig Long,Orig Lat,Dest Long,Dest Lat,Times
Manhattan,-73.95752,40.801159,-73.944031,40.809711,0
Queens,-73.92482,40.761772,-73.907364,40.753197,0
Manhattan,-73.994637,40.720535,-73.919632,40.754128,0
Manhattan,-73.971642,40.76263,-73.997894,40.722618,0
Manhattan,-73.991943,40.75798,-73.946968,40.790138,0
Manhattan,-73.982536,40.731247,-73.941605,40.674995,0
Manhattan,-73.973328,40.754566,-73.962914,40.794117,0
Manhattan,-73.968918,40.753971,-73.976288,40.653717,0
Brooklyn,-73.983078,40.69371,-74.005981,40.714344,0
Manhattan,-73.955666,40.779266,-73.981033,40.778481,0
Manhattan,-73.99279,40.75882,-73.827072,40.709705,0
Manhattan,-73.966873,40.75312,-73.968697,40.747532,0
Manhattan,-73.958488,40.769073,-73.950638,40.779091,0
Manhattan,-73.96769,40.792801,-73.97242,40.790741,0
Manhattan,-73.9729,40.795914,-73.996353,40.753288,0
Manhattan,-73.975594,40.763512,-73.977013,40.792873,0
Manhattan,-73.987015,40.779114,-73.97966,40.786438,0
Queens,-73.930069,40.761696,-73.988785,40.753361,0
Queens,-73.862679,40.768909,-73.964058,40.775494,0
Manhattan,-73.977173,40.755627,-73.9645,40.766811,0
Manhattan,-73.978264,40.783241,-73.955551,40.769642,0
Manhattan,-74.006569,40.738552,-73.997734,40.739216,0
Manhattan,-73.974709,40.756065,-73.974709,40.756065,0
Manhattan,-73.9963,40.725346,-73.966927,40.764969,0
Manhattan,-73.987045,40.74091,-73.982361,40.738773,0
Manhattan,-73.988136,40.716904,-73.984009,40.725426,0
Manhattan,-73.953079,40.786671,-73.957169,40.777683,0
Manhattan,-73.991486,40.750271,-73.980186,40.758793,0
Manhattan,-73.996193,40.723858,-73.988235,40.734985,0
Manhattan,-73.988518,40.779026,-73.982201,40.765415,0
Manhattan,-74.006271,40.731754,-73.967941,40.767231,0
Manhattan,-73.972092,40.761971,-73.965065,40.772285,0
Manhattan,-73.981056,40.779537,-73.975075,40.787533,0
Manhattan,-73.945351,40.782696,-73.947372,40.787907,0
Manhattan,-73.973839,40.791142,-73.958595,40.775982,0
Manhattan,-73.993469,40.742283,-73.983749,40.746761,0
Manhattan,-73.981934,40.778442,-73.972855,40.790997,0
Manhattan,-73.960136,40.776108,-73.965454,40.765976,0
Manhattan,-74.006424,40.712811,-74.002258,40.718033,0
Manhattan,-73.983749,40.748669,-73.974998,40.759819,0
Manhattan,-74.001114,40.725819,-73.981499,40.759571,0
Manhattan,-73.986557,40.766846,-73.96447,40.758873,0
Manhattan,-74.005257,40.719044,-73.987556,40.755356,0
Manhattan,-73.978081,40.7528,-73.992378,40.750191,0
Manhattan,-73.989456,40.747486,-73.987083,40.73354,0
Brooklyn,-73.98053,40.688324,-73.973228,40.677776,0
Manhattan,-73.973602,40.743832,-73.976959,40.77758,0
Manhattan,-73.994385,40.743793,-73.994102,40.737404,0
Manhattan,-73.968491,40.767395,-73.966881,40.769661,0
Manhattan,-73.999542,40.761429,-73.969261,40.762711,0
Manhattan,-73.985931,40.752117,-73.991455,40.746525,0
Manhattan,-73.956284,40.779499,-73.989288,40.739845,0
Manhattan,-74.004791,40.725842,-74.004868,40.725876,0
Brooklyn,-73.994675,40.680569,-73.978844,40.670174,0
Manhattan,-74.005592,40.740707,-73.97258,40.757668,0
Manhattan,-73.949654,40.784626,-73.949776,40.811939,0
Manhattan,-74.004128,40.742195,-73.608543,40.656883,0
Queens,-73.913818,40.765591,-73.905411,40.772457,0
Queens,-73.919991,40.757874,-73.92144,40.755947,0
Manhattan,-73.960114,40.762001,-73.897507,40.746147,0
Manhattan,-73.977097,40.790096,-73.981133,40.784386,0
Manhattan,-73.99176,40.726768,-73.99176,40.726768,0
Manhattan,-73.985703,40.735298,-73.961014,40.760853,0
Manhattan,-73.981339,40.780125,-73.979858,40.755562,0
Manhattan,-73.960274,40.773277,-73.98893,40.742077,0
Queens,-73.776688,40.645432,-73.715225,40.758358,0
Manhattan,-73.970413,40.783966,-73.95285,40.810856,0
Brooklyn,-73.96981,40.689541,-73.958305,40.648605,0
Manhattan,-73.991867,40.758301,-73.985252,40.755203,0
Manhattan,-74.006523,40.736931,-74.002342,40.76054,0
Manhattan,-73.9729,40.756081,-73.982735,40.751141,0
Manhattan,-73.966049,40.794968,-73.977371,40.77943,0
Manhattan,-73.977173,40.75922,-73.989815,40.762241,0
