Origin,Orig Long,Orig Lat,Destination,Dest Long,Dest Lat,Times
Manhattan,-73.989433,40.719017,Manhattan,-74.009163,40.708832,0
Manhattan,-73.986855,40.721001,Manhattan,-73.981049,40.725155,0
Manhattan,-73.987961,40.728695,Brooklyn,-73.95665,40.720741,0
Manhattan,-73.993034,40.747444,Manhattan,-73.976883,40.722553,0
Manhattan,-73.986534,40.747066,Manhattan,-73.981087,40.745033,0
Manhattan,-73.996262,40.759922,Manhattan,-73.982346,40.765648,0
Manhattan,-73.98642,40.747166,Manhattan,-74.008133,40.705322,0
Brooklyn,-73.986771,40.674507,Brooklyn,-73.950684,40.723576,0
Manhattan,-73.945297,40.783367,Manhattan,-73.945297,40.783367,0
Manhattan,-73.984695,40.732334,Manhattan,-73.983971,40.760571,0
Manhattan,-73.985237,40.719242,Queens,-73.917664,40.768799,0
Manhattan,-74.00927,40.712772,Manhattan,-74.000549,40.739807,0
Brooklyn,-73.961502,40.713982,Brooklyn,-73.935463,40.705311,0
Manhattan,-73.996246,40.723808,Brooklyn,-73.993622,40.672703,0
Manhattan,-73.954185,40.821575,Brooklyn,-73.988594,40.663025,0
Manhattan,-73.99054,40.761196,Manhattan,-73.982239,40.774769,0
Manhattan,-74.00325,40.74155,Manhattan,-73.99884,40.739799,0
Manhattan,-73.981491,40.741055,Manhattan,-73.978394,40.728966,0
Manhattan,-74.006226,40.714039,Manhattan,-74.004868,40.707172,0
Brooklyn,-73.978752,40.678902,Brooklyn,-73.995827,40.685932,0
Manhattan,-73.993446,40.721489,Manhattan,-73.985611,40.738251,0
Manhattan,-74.008476,40.720203,Manhattan,-74.016418,40.706966,0
Manhattan,-73.972359,40.793816,Manhattan,-73.943939,40.797703,0
Manhattan,-73.966034,40.756313,Brooklyn,-73.982979,40.685532,0
Manhattan,-74.007187,40.741405,Manhattan,-73.987915,40.744068,0
Manhattan,-73.990746,40.72438,Manhattan,-74.014145,40.717556,0
Manhattan,-73.988007,40.718781,Manhattan,-73.977165,40.722591,0
Manhattan,-73.987015,40.729069,Manhattan,-73.983719,40.723,0
Manhattan,-73.981972,40.778786,Manhattan,-73.975548,40.79541,0
Brooklyn,-73.981209,40.689205,Brooklyn,-74.003906,40.682579,0
Manhattan,-73.998131,40.740452,Manhattan,-73.981209,40.756863,0
Manhattan,-74.004265,40.733383,Manhattan,-74.00547,40.728577,0
Manhattan,-74.000534,40.731518,Manhattan,-73.997368,40.709606,0
Manhattan,-73.999199,40.726509,Brooklyn,-73.927689,40.701855,0
Manhattan,-73.987907,40.757191,Manhattan,-73.999435,40.740112,0
Manhattan,-73.98822,40.74966,Queens,-73.922974,40.755581,0
Manhattan,-73.973991,40.760601,Manhattan,-73.97834,40.726185,0
Manhattan,-74.004494,40.742031,Manhattan,-74.00415,40.734062,0
Manhattan,-73.984177,40.725204,Brooklyn,-73.928574,40.706669,0
Manhattan,-73.990112,40.732014,Manhattan,-74.000038,40.733028,0
Manhattan,-73.999779,40.738579,Manhattan,-73.991806,40.754601,0
Manhattan,-73.988518,40.720043,Manhattan,-73.99025,40.750816,0
Manhattan,-73.978142,40.741543,Queens,-73.856682,40.719944,0
Manhattan,-73.999023,40.727737,Brooklyn,-74.004326,40.650917,0
Manhattan,-73.995819,40.724506,Manhattan,-73.987892,40.750336,0
Manhattan,-73.978554,40.729706,Brooklyn,-73.943314,40.718327,0
Manhattan,-73.988808,40.722042,Brooklyn,-73.920624,40.688431,0
Manhattan,-73.997543,40.763805,Brooklyn,-73.973373,40.678349,0
Manhattan,-73.973953,40.75742,Manhattan,-73.97467,40.757351,0
Manhattan,-73.982262,40.731098,Manhattan,-73.996513,40.737846,0
Manhattan,-73.971802,40.794418,Manhattan,-73.962631,40.809528,0
Manhattan,-73.996292,40.738121,Manhattan,-73.999718,40.761463,0
Manhattan,-74.005219,40.740604,Manhattan,-73.994621,40.723892,0
Manhattan,-73.95752,40.801159,Manhattan,-73.944031,40.809711,0
Queens,-73.92482,40.761772,Queens,-73.907364,40.753197,0
