Origin,Dest Long,Dest Lat,Times
Brooklyn,-73.953125,40.728016,0
Manhattan,-73.990509,40.723438,0
Manhattan,-73.978111,40.741711,0
Manhattan,-73.970963,40.751308,0
Manhattan,-73.973389,40.795078,0
Manhattan,-73.99147,40.759926,0
Manhattan,-73.991119,40.749077,0
Manhattan,-73.941307,40.806011,0
Manhattan,-73.998604,40.734066,0
Manhattan,-74.004013,40.717194,0
Manhattan,-73.996658,40.720379,0
Manhattan,-73.990265,40.750027,0
Manhattan,-73.983971,40.733753,0
Manhattan,-73.981003,40.779556,0
Manhattan,-73.984444,40.724781,0
Manhattan,-73.979935,40.761055,0
Manhattan,-73.976791,40.790916,0
Manhattan,-73.953819,40.770603,0
Manhattan,-73.997375,40.753883,0
Manhattan,-73.99395,40.7565,0
Manhattan,-73.984444,40.756935,0
Manhattan,-73.972534,40.749119,0
Manhattan,-73.994904,40.755291,0
Manhattan,-73.998665,40.76099,0
Manhattan,-73.980499,40.730534,0
Manhattan,-73.988937,40.765923,0
Manhattan,-73.995758,40.733135,0
Manhattan,-73.997826,40.72554,0
Manhattan,-73.989807,40.734604,0
Manhattan,-73.980301,40.761314,0
Manhattan,-74.006744,40.706451,0
Manhattan,-74.001396,40.755554,0
Manhattan,-73.991173,40.750313,0
Manhattan,-73.980255,40.751556,0
Manhattan,-73.965866,40.775257,0
Manhattan,-73.96357,40.77153,0
Manhattan,-73.960518,40.776901,0
Manhattan,-73.972267,40.7813,0
Manhattan,-74.002937,40.756153,0
Manhattan,-73.967163,40.768379,0
Manhattan,-73.967224,40.763763,0
Manhattan,-73.994179,40.724926,0
Manhattan,-73.940147,40.8064,0
Manhattan,-73.97831,40.75235,0
Manhattan,-73.987083,40.738827,0
Manhattan,-73.998306,40.764332,0
Manhattan,-73.984222,40.723995,0
Bronx,-73.861534,40.889069,0
Manhattan,-73.952667,40.772247,0
Manhattan,-73.991653,40.744518,0
Manhattan,-73.970482,40.768047,0
Manhattan,-73.954796,40.77774,0
Manhattan,-73.986938,40.722473,0
Manhattan,-73.982819,40.74218,0
Manhattan,-74.008347,40.750294,0
Manhattan,-73.971954,40.757851,0
Manhattan,-73.987946,40.750816,0
Manhattan,-73.963852,40.770462,0
Manhattan,-73.97496,40.746029,0
Manhattan,-73.999802,40.722141,0
Manhattan,-73.977432,40.746876,0
Manhattan,-73.995461,40.749508,0
Brooklyn,-73.994186,40.694782,0
Manhattan,-73.966927,40.769859,0
Manhattan,-73.952934,40.772007,0
Manhattan,-73.967773,40.762745,0
Manhattan,-74.002129,40.745361,0
Brooklyn,-73.916817,40.704716,0
Manhattan,-73.973335,40.763077,0
Manhattan,-73.982437,40.774117,0
Manhattan,-73.997543,40.763138,0
Manhattan,-73.957878,40.770523,0
Manhattan,-73.997025,40.725559,0
Manhattan,-73.975174,40.782341,0
Manhattan,-73.992188,40.754147,0
Manhattan,-73.964706,40.772362,0
Manhattan,-73.959526,40.762974,0
Manhattan,-73.981834,40.778309,0
Queens,-73.937523,40.758148,0
Manhattan,-73.984566,40.755775,0
Manhattan,-73.958191,40.778141,0
Manhattan,-73.994934,40.750183,0
Brooklyn,-73.952927,40.706696,0
Manhattan,-73.984001,40.727058,0
Manhattan,-73.986443,40.769894,0
Manhattan,-73.998711,40.76387,0
Manhattan,-73.998878,40.734562,0
Manhattan,-73.97876,40.773243,0
Manhattan,-73.997902,40.735809,0
Manhattan,-73.953224,40.778481,0
Manhattan,-73.984726,40.76757,0
Manhattan,-73.999992,40.75872,0
Manhattan,-73.990456,40.771885,0
Manhattan,-73.966835,40.77,0
Manhattan,-73.953094,40.80249,0
Manhattan,-74.000198,40.757473,0
Manhattan,-73.979156,40.774437,0
Manhattan,-73.955055,40.783215,0
Manhattan,-73.973648,40.779331,0
Manhattan,-73.96769,40.756329,0
Manhattan,-73.962158,40.763817,0
Manhattan,-73.981773,40.758141,0
Manhattan,-73.996384,40.715603,0
Manhattan,-73.938393,40.827618,0
Manhattan,-73.981125,40.75312,0
Manhattan,-73.98629,40.740036,0
Manhattan,-73.975655,40.786758,0
Manhattan,-73.95919,40.779221,0
Manhattan,-74.000664,40.757622,0
Manhattan,-73.991264,40.750423,0
Manhattan,-73.998459,40.760788,0
Manhattan,-73.98613,40.752544,0
Manhattan,-73.975166,40.792606,0
Manhattan,-73.999573,40.738491,0
Manhattan,-73.981598,40.729198,0
Manhattan,-73.963043,40.767895,0
Manhattan,-73.998932,40.734241,0
Manhattan,-73.985054,40.732197,0
Manhattan,-73.956017,40.787739,0
Manhattan,-73.955399,40.785439,0
Manhattan,-73.977516,40.755882,0
Manhattan,-73.963913,40.771057,0
Manhattan,-74.004814,40.73011,0
Queens,-73.931267,40.774078,0
Manhattan,-73.981979,40.76292,0
Brooklyn,-73.941444,40.608841,0
Manhattan,-74.001755,40.728024,0
Manhattan,-73.950996,40.825783,0
Manhattan,-73.981934,40.751438,0
Manhattan,-73.980865,40.767757,0
Manhattan,-73.991409,40.723042,0
Manhattan,-74.008347,40.702625,0
Manhattan,-73.97171,40.760361,0
Manhattan,-73.965752,40.793163,0
Manhattan,-73.970047,40.751316,0
Manhattan,-73.95166,40.77702,0
Manhattan,-73.999107,40.739326,0
Manhattan,-73.986786,40.766296,0
Manhattan,-73.948006,40.787056,0
Queens,-73.812439,40.709335,0
Manhattan,-74.001015,40.731644,0
Manhattan,-73.952927,40.783306,0
Manhattan,-74.004021,40.733437,0
Manhattan,-73.988991,40.748295,0
Manhattan,-73.968147,40.793106,0
Manhattan,-73.993111,40.723057,0
Manhattan,-73.943268,40.820904,0
Brooklyn,-73.95517,40.724472,0
Manhattan,-73.978134,40.729271,0
Manhattan,-74.000824,40.741791,0
Manhattan,-74.00367,40.759243,0
Manhattan,-73.95784,40.765144,0
Manhattan,-73.92482,40.857574,0
Manhattan,-73.984985,40.747971,0
Manhattan,-73.954369,40.786491,0
Manhattan,-73.990471,40.74604,0
Manhattan,-73.98848,40.739532,0
Manhattan,-73.961861,40.771053,0
Manhattan,-73.970245,40.762444,0
Manhattan,-73.976822,40.78582,0
Manhattan,-73.956635,40.775375,0
Manhattan,-73.956207,40.821522,0
Manhattan,-73.952805,40.822514,0
Manhattan,-73.98967,40.756725,0
Manhattan,-73.997253,40.714424,0
Manhattan,-73.993729,40.762157,0
Queens,-73.885902,40.764706,0
Manhattan,-73.976555,40.725475,0
Manhattan,-73.968925,40.785946,0
Manhattan,-73.96769,40.762413,0
Manhattan,-73.991684,40.74419,0
Brooklyn,-73.999184,40.684605,0
Manhattan,-73.994125,40.751377,0
Manhattan,-73.958611,40.769043,0
Manhattan,-73.979546,40.776379,0
Manhattan,-73.968475,40.767056,0
Manhattan,-73.978943,40.749866,0
Manhattan,-74.002083,40.755959,0
Manhattan,-73.940475,40.789078,0
Manhattan,-73.991531,40.749935,0
Manhattan,-73.962364,40.76104,0
Manhattan,-73.963989,40.770432,0
Manhattan,-73.981895,40.778374,0
Manhattan,-73.965851,40.762024,0
Manhattan,-74.006561,40.722656,0
Manhattan,-73.968178,40.762749,0
Manhattan,-73.991562,40.748951,0
Manhattan,-73.992775,40.749382,0
Manhattan,-73.963264,40.781948,0
Manhattan,-73.982147,40.777611,0
Manhattan,-74.004402,40.724846,0
Manhattan,-73.952866,40.798481,0
Manhattan,-73.993355,40.746483,0
Manhattan,-73.967766,40.756153,0
Manhattan,-73.968147,40.758919,0
Manhattan,-74.000397,40.758427,0
Manhattan,-73.9617,40.771336,0
Manhattan,-73.932365,40.794773,0
Manhattan,-73.972054,40.726048,0
Manhattan,-73.98243,40.77898,0
Manhattan,-73.946419,40.781841,0
Manhattan,-73.967346,40.766571,0
Manhattan,-73.98555,40.778393,0
Manhattan,-73.97683,40.756672,0
Manhattan,-74.00647,40.749783,0
Manhattan,-73.971611,40.752911,0
Manhattan,-73.978241,40.752541,0
Manhattan,-74.017235,40.709888,0
Manhattan,-74.000519,40.723991,0
Manhattan,-73.985573,40.780369,0
Manhattan,-73.952644,40.786366,0
Manhattan,-73.958832,40.780739,0
Manhattan,-73.978477,40.750351,0
Manhattan,-73.973618,40.76276,0
Manhattan,-73.976028,40.755062,0
Manhattan,-73.967491,40.768608,0
Manhattan,-73.9842,40.729141,0
Manhattan,-73.989197,40.756134,0
Manhattan,-73.958794,40.79002,0
Manhattan,-73.956711,40.770973,0
Manhattan,-73.998711,40.727127,0
Manhattan,-73.981285,40.760647,0
Manhattan,-73.975388,40.791317,0
Manhattan,-73.991325,40.750381,0
Manhattan,-73.957794,40.779442,0
Manhattan,-73.990997,40.771149,0
Manhattan,-73.994682,40.755566,0
Manhattan,-73.972031,40.781681,0
Queens,-73.897827,40.750401,0
Manhattan,-73.988274,40.727291,0
Manhattan,-73.982117,40.745773,0
Manhattan,-73.967255,40.763496,0
Brooklyn,-74.03138,40.630062,0
Manhattan,-73.984589,40.774006,0
Manhattan,-73.992958,40.734329,0
Manhattan,-73.985001,40.721767,0
Manhattan,-73.970291,40.799698,0
Manhattan,-73.954407,40.778278,0
