id_origin,orig_long,orig_lat,espacio,id_destino,dest_long,dest_lat
101,-73.983421,40.734631,       ,106,-73.983421,40.734631
101,-74.016167,40.710033,       ,101,-74.016167,40.710033
101,-73.980759,40.676506,       ,306,-73.980759,40.676506
101,-73.984207,40.725071,       ,103,-73.984207,40.725071
101,-73.906723,40.753445,       ,401,-73.906723,40.753445
101,-74.003723,40.717403,       ,101,-74.003723,40.717403
101,-73.982849,40.748283,       ,105,-73.982849,40.748283
101,-73.988914,40.726864,       ,103,-73.988914,40.726864
101,-74.010223,40.719696,       ,101,-74.010223,40.719696
101,-73.920624,40.766468,       ,401,-73.920624,40.766468
101,-74.000305,40.728882,       ,102,-74.000305,40.728882
101,-73.963219,40.720322,       ,301,-73.963219,40.720322
101,-74.015106,40.717464,       ,101,-74.015106,40.717464
101,-73.994385,40.724762,       ,102,-73.994385,40.724762
101,-74.016266,40.716789,       ,101,-74.016266,40.716789
101,-74.005486,40.719681,       ,101,-74.005486,40.719681
101,-73.996185,40.735363,       ,102,-73.996185,40.735363
101,-73.991676,40.723953,       ,103,-73.991676,40.723953
101,-74.014946,40.715668,       ,101,-74.014946,40.715668
101,-73.993378,40.739349,       ,105,-73.993378,40.739349
101,-73.976563,40.764118,       ,105,-73.976563,40.764118
101,-73.943298,40.776947,       ,108,-73.943298,40.776947
101,-73.991364,40.749081,       ,105,-73.991364,40.749081
101,-74.010941,40.729156,       ,102,-74.010941,40.729156
101,-73.996956,40.73719,       ,102,-73.996956,40.73719
101,-73.974182,40.750587,       ,106,-73.974182,40.750587
101,-73.980598,40.750584,       ,106,-73.980598,40.750584
101,-73.994232,40.733028,       ,102,-73.994232,40.733028
101,-74.003304,40.720547,       ,102,-74.003304,40.720547
101,-74.007591,40.733589,       ,102,-74.007591,40.733589
101,-73.995216,40.746593,       ,105,-73.995216,40.746593
101,-73.993805,40.727116,       ,102,-73.993805,40.727116
101,-73.980614,40.760471,       ,105,-73.980614,40.760471
101,-74.000481,40.722462,       ,102,-74.000481,40.722462
101,-73.974869,40.735199,       ,106,-73.974869,40.735199
101,-73.91732,40.683426,       ,303,-73.91732,40.683426
101,-73.981674,40.720928,       ,103,-73.981674,40.720928
101,-74.000664,40.735859,       ,102,-74.000664,40.735859
101,-74.001244,40.724491,       ,102,-74.001244,40.724491
101,-73.876038,40.766735,       ,403,-73.876038,40.766735
101,-73.989014,40.74818,       ,105,-73.989014,40.74818
101,-73.980988,40.721115,       ,103,-73.980988,40.721115
101,-73.993011,40.74279,       ,104,-73.993011,40.74279
101,-74.008553,40.708256,       ,101,-74.008553,40.708256
101,-73.980003,40.760868,       ,105,-73.980003,40.760868
101,-74.006256,40.734325,       ,102,-74.006256,40.734325
101,-73.99781,40.709137,       ,103,-73.99781,40.709137
101,-73.99939,40.733559,       ,102,-73.99939,40.733559
101,-74.001152,40.731392,       ,102,-74.001152,40.731392
101,-74.00106,40.731586,       ,102,-74.00106,40.731586
101,-73.958786,40.764236,       ,108,-73.958786,40.764236
101,-73.964966,40.75584,       ,106,-73.964966,40.75584
101,-73.983383,40.750626,       ,105,-73.983383,40.750626
101,-74.014351,40.704098,       ,101,-74.014351,40.704098
101,-73.99855,40.734829,       ,102,-73.99855,40.734829
101,-73.97863,40.75264,       ,105,-73.97863,40.75264
101,-73.982384,40.745537,       ,105,-73.982384,40.745537
101,-74.002892,40.728012,       ,102,-74.002892,40.728012
101,-73.985977,40.727871,       ,103,-73.985977,40.727871
101,-74.009148,40.740501,       ,102,-74.009148,40.740501
101,-74.000656,40.728893,       ,102,-74.000656,40.728893
101,-74.015152,40.710308,       ,101,-74.015152,40.710308
101,-73.955933,40.775928,       ,108,-73.955933,40.775928
101,-73.991158,40.748558,       ,105,-73.991158,40.748558
101,-73.997902,40.735931,       ,102,-73.997902,40.735931
101,-73.998772,40.719574,       ,102,-73.998772,40.719574
101,-73.988136,40.690441,       ,302,-73.988136,40.690441
101,-73.997269,40.746925,       ,104,-73.997269,40.746925
101,-74.002777,40.724678,       ,102,-74.002777,40.724678
101,-74.000359,40.724056,       ,102,-74.000359,40.724056
101,-73.987701,40.744835,       ,105,-73.987701,40.744835
101,-74.009209,40.731171,       ,102,-74.009209,40.731171
101,-74.006882,40.713108,       ,101,-74.006882,40.713108
101,-73.957367,40.774109,       ,108,-73.957367,40.774109
101,-74.013268,40.70369,       ,101,-74.013268,40.70369
101,-73.941002,40.789165,       ,111,-73.941002,40.789165
101,-73.986855,40.745358,       ,105,-73.986855,40.745358
101,-74.01033,40.709816,       ,101,-74.01033,40.709816
101,-74.001099,40.727448,       ,102,-74.001099,40.727448
101,-74.008286,40.71283,       ,101,-74.008286,40.71283
102,-73.994499,40.75066,       ,105,-73.994499,40.75066
102,-74.009834,40.726002,       ,102,-74.009834,40.726002
102,-73.971558,40.761612,       ,105,-73.971558,40.761612
102,-73.984833,40.748741,       ,105,-73.984833,40.748741
102,-73.9524,40.723228,       ,301,-73.9524,40.723228
102,-73.976883,40.751884,       ,105,-73.976883,40.751884
102,-73.977501,40.757061,       ,105,-73.977501,40.757061
102,-73.994499,40.75061,       ,105,-73.994499,40.75061
102,-73.983322,40.773598,       ,107,-73.983322,40.773598
102,-74.004173,40.716911,       ,101,-74.004173,40.716911
102,-73.998352,40.745613,       ,104,-73.998352,40.745613
102,-73.993546,40.693043,       ,302,-73.993546,40.693043
102,-73.987373,40.768406,       ,104,-73.987373,40.768406
102,-74.000443,40.732376,       ,102,-74.000443,40.732376
102,-73.967354,40.798096,       ,107,-73.967354,40.798096
102,-73.956848,40.710377,       ,301,-73.956848,40.710377
102,-73.937714,40.850773,       ,112,-73.937714,40.850773
102,-73.848808,40.71014,       ,406,-73.848808,40.71014
102,-73.920761,40.766708,       ,401,-73.920761,40.766708
102,-73.973106,40.754673,       ,106,-73.973106,40.754673
102,-73.981308,40.720791,       ,103,-73.981308,40.720791
102,-73.993622,40.672703,       ,306,-73.993622,40.672703
